story_id,left_perspective,center_perspective,right_perspective
GN_20250825_212137_80ec5903,"Thailand's former Prime Minister Thaksin Shinawatra was acquitted of a royal defamation charge that could have led to a 15-year prison sentence. His lawyer, Winyat Chatmontree, confirmed the court's acquittal verdict, which was disclosed in a news release by the Bangkok Criminal Court. The court found the evidence too weak to support a conviction and noted that the prosecution's interview account lacked context. Thaksin has maintained that the charges against him are politically motivated and he has not spent any time in prison since leaving office.","On August 22, 2025, a Bangkok court cleared Thaksin Shinawatra, Thailand's former prime minister, of charges related to alleged royal defamation due to a lack of sufficient evidence. The case originated from a 2015 interview Thaksin gave while in exile and was initiated by the royalist military forces responsible for removing him from power in the 2006 coup. Thaksin, aged 76, appeared at court smiling, wore a yellow necktie symbolizing monarchy, denied wrongdoing, and told reporters the case was ""dismissed"". He faced up to 15 years in prison under lese-majeste laws, but upon arrival, he was given an eight-year term on graft and misuse of power charges, which the king later reduced to one year before he was released early in February 2024. The verdict eased legal pressure on Thaksin, who remains politically active though without government role, while a separate court will soon rule on his daughter's political future.","Thaksin Shinawatra was acquitted of royal defamation charges by the Criminal Court, as confirmed by his lawyer, but no reason was provided for the dismissal. This ruling marks a significant moment for the Shinawatra family, who have faced declining popularity in Thai politics after two decades of influence. Prosecutions under Thailand's lese-majeste law have sharply increased since 2020, with rights groups stating that over 280 individuals have been prosecuted for violating this law in the last five years. The case stems from Thaksin's 2015 comments during an interview with foreign media while in exile."
GN_20250825_212728_ed398e5b,"Israeli Prime Minister Benjamin Netanyahu plans to begin negotiations for a ceasefire and the release of all hostages held in Gaza, stating, ""We are in the decision-making phase."" Thousands of Palestinians have fled their homes in Gaza City due to continued Israeli military assaults, adding to the crisis, as reported by local hospitals. Hamas has accepted a proposed 60-day ceasefire, but the Israeli government demands the release of all 50 hostages before responding, as stated by Netanyahu's Office. International condemnation continues with calls for protests in Israel and reports of worsening hunger in Gaza, where at least two people died from starvation recently, according to the Hamas-run health ministry.","On Thursday, Israeli Prime Minister Benjamin Netanyahu announced plans to promptly begin talks aimed at securing the freedom of all hostages and bringing the conflict to a close as Israeli forces moved forward toward Gaza City. This follows the October 7, 2023 Hamas attack that killed about 1,200 people and abducted 251, igniting a conflict with ongoing Israeli military pressure on Gaza City. The Israel Defense Forces reported troops operating on Gaza City's outskirts with reinforcements en route, called up 60,000 reservists, and urged southward medical evacuations ahead of intensified operations. Netanyahu emphasized that the efforts to overcome Hamas and secure the release of all hostages are interconnected, while Hamas insists on a permanent ceasefire and the withdrawal of Israeli forces as conditions for freeing the remaining captives. Meanwhile, Israel's approval of the contested E1 West Bank settlement plan drew international condemnation for threatening a two-state solution amid protests and a worsening humanitarian crisis in Gaza.","Israeli Prime Minister Benjamin Netanyahu announced that negotiations for the release of hostages held in Gaza and ending the war will be under terms acceptable to Israel. Israeli military operations continue to advance in Gaza City with a plan to capture the area to defeat Hamas. Hamas has accepted a ceasefire proposal involving hostage releases, but Israel insists on the release of all hostages at once."
GN_20250825_213458_7d8bdd73,"The Trump administration announced new sanctions on four International Criminal Court officials for pursuing investigations into U.S. and Israeli officials for alleged war crimes. The sanctions target two judges and two prosecutors who engaged in prosecuting nationals without consent, according to the U.S. State Department. The International Criminal Court denounced the sanctions, calling them 'a flagrant attack against the independence of an impartial judicial institution.' United Nations spokesman Stephane Dujarric affirmed that the ICC has the full support of the world body to carry out its work.","On August 20, 2025, the United States implemented new sanctions against four officials associated with the International Criminal Court, including judges and prosecutors from Canada and France. The sanctions follow U.S. objections to ICC investigations into alleged war crimes by U.S. and Israeli nationals without the consent of either country, escalating earlier Trump administration measures. The targeted officials include French judge Nicolas Guillou, who presided over a pre-trial panel issuing an arrest warrant for Israeli Prime Minister Netanyahu, Canadian judge Kimberly Prost, and two deputy prosecutors from Fiji and Senegal. Secretary of State Rubio characterized the Court as a threat to national security, accusing it of being used to pursue legal actions against the United States and its key ally Israel, while Netanyahu praised the sanctions as a firm response to what he called a campaign of false accusations targeting Israel. The U.S. barred these ICC officials from entering the country and blocked their assets, intensifying its pressure campaign to impede investigations especially related to Israel and U.S. personnel in Afghanistan.","The Trump administration imposed sanctions on four International Criminal Court officials, including judges and prosecutors, amid ongoing tensions regarding their investigations into Israeli leaders. The International Criminal Court denounced the sanctions, calling them a ""flagrant attack against the independence of an impartial judicial institution"". U.S. sanctions targeted International Criminal Court officials, including judges Kimberly Prost and Nicolas Guillou, for their roles in investigations involving Israel. The sanctions freeze U.S. assets of the targeted officials and bar them from the U.S. financial system."
GN_20250825_214029_f655725e,"The Israeli military has commenced the first stages of its planned assault on Gaza City, with forces already positioned at the outskirts according to IDF spokesperson Brigadier General Effie Defrin. Around 130,000 Israeli reservists will be mobilized for Operation Gideon's Chariots 2, with 60,000 already deployed, due to escalating military actions against Hamas. The Gaza Health Ministry reported that 56 Palestinians were killed by Israeli fire, with ongoing evacuations ordered in central Gaza's Jabalya area. U.N. Secretary-General Antonio Guterres has called for an immediate ceasefire in Gaza to prevent further civilian casualties and urged the reversal of settlement expansions in the West Bank.","On Wednesday, Israel initiated preliminary operations around Gaza City, with IDF troops securing its outskirts and mobilizing 60,000 reservists for an expanded military campaign. The operation follows nearly two years of conflict triggered by Hamas attacks on October 7, 2023, with Netanyahu directing to shorten timelines to defeat Hamas. The offensive is expected to displace thousands of Palestinians amid severe food shortages and humanitarian aid expansions, while Israelis face declining soldier morale and calls for broader military drafts. Effie Defrin stated, ""we'll do our best not to harm the hostages,"" emphasizing intelligence use to protect them amid ongoing hostage negotiations and pressure on Hamas. The operation and settlement expansions have sparked domestic protests and international condemnation, underscoring severe regional instability and uncertainty about conflict resolution.","The IDF has commenced its invasion of Gaza City, confirmed by IDF Spokesman Brig.-Gen. Effie Defrin. During the invasion, ten terrorists were killed by IDF forces, who also suffered three wounded soldiers, one seriously. A proposal for a 60-day ceasefire and the release of ten hostages is being mediated by Egypt and Qatar. Prime Minister Benjamin Netanyahu and Defense Minister Israel Katz are set to approve plans for capturing Gaza City amid ongoing hostage deal negotiations."
GN_20250825_214911_7874863c,"President Donald Trump announced on August 22, 2025, that he would nominate Sergio Gor to be the next U.S. ambassador to India and special envoy for South and Central Asian affairs. Sergio Gor is currently the director of the White House Presidential Personnel Office and will remain in that role until confirmed by the U.S. Senate. Relations between the U.S. and India have soured due to increased U.S. tariffs, which will double to 50% from August 27, following India's oil purchases from Russia. Trump stated that Gor has been a close aide and has played a significant role in his administration.","On Friday, President Donald Trump said he would nominate Sergio Gor as U.S. ambassador to India, with Gor remaining White House personnel director until U.S. Senate confirmation. Amid a tariff clash that began with 25% duties, Trump first imposed additional tariffs then said they would double to 50% from August 27, straining U.S.-India trade talks over agriculture and dairy access. Gor will take on both ambassador and special envoy duties, with his nomination arriving nearly seven months after Eric Garcetti, former U.S. Ambassador to India, stepped down. The White House framed the pick as driven by trust, noting Trump called Sergio Gor `a great friend, who has been at my side for many years` and stressed his role to help `MAKE AMERICA GREAT AGAIN`. With more than $190 billion in bilateral trade at stake, U.S. Treasury Secretary Scott Bessent accused India of profiteering from Russian oil purchases, while stalled talks on agriculture and dairy market access intensify tensions.","President Donald Trump nominated Sergio Gor as the next U.S. ambassador to India and special envoy for South and Central Asian affairs, pending Senate confirmation. Sergio Gor, currently the director of the White House Presidential Personnel Office, will remain in his position until confirmed. Trump stated Gor's role has been essential in hiring nearly 4,000 personnel across the government and emphasized trust in Gor to advance his agenda. Relations between the U.S. and India are tense due to trade tariffs, with Trump recently doubling tariffs on Indian imports to 50%."
GN_20250825_215051_9e3f2934,"A military prosecutor in the Democratic Republic of the Congo is seeking the death penalty for former President Joseph Kabila for treason and war crimes, including support for M23 rebels, as stated by General Lucien Rene Likulia. Joseph Kabila has been accused of supporting the Rwanda-backed M23 rebels that have seized cities in eastern DRC this year, according to the charge sheet seen by the AFP news agency. The DRC lifted a moratorium on the death penalty last year; however, no judicial executions have occurred since, as noted in the reported court proceedings. Kabila has denounced the trial as politically motivated, claiming that it is an act of oppression against him, and his supporters believe the charges are part of a campaign against him, according to Ferdinand Kambere.","On Friday, General Lucien Rene Likulia requested the death penalty for former President Joseph Kabila, who has been tried in absentia since July on war crimes, murder, and rape charges. Following a May vote to lift immunity, officials allege Joseph Kabila supported Rwanda-backed M23 rebels whose offensives seized major eastern cities earlier this year. The charge sheet describes the forcible occupation of Goma and atrocities in North and South Kivu provinces, while prosecutors also sought 20-year and 15-year prison terms alongside the death penalty for Joseph Kabila on Friday. Kabila's allies argue the government moved to ban the PPRD and seized Joseph Kabila's assets, with supporters calling the case politically motivated and Kabila denouncing the courts as `an instrument of oppression`. UN experts report Rwanda's army played a `critical` role in the M23 offensive, while the DRC lifted a death penalty moratorium last year without carrying out executions since.","Joseph Kabila, former President of the Democratic Republic of Congo, is facing the death penalty for war crimes, including homicide and torture, according to General Lucien Rene Likulia in a military court. Kabila, who has been abroad since late 2023, is wanted for his alleged involvement in civilian massacres and is accused of plotting to overthrow President Felix Tshisekedi. The military court's recommendation follows the senator's vote to lift Kabila's immunity in May, and Kabila's political party was banned by Congo's government shortly after his announced return in April. Kabila has criticized the trial, calling the courts an 'instrument of oppression,' while his political party's secretary described the government's actions as 'relentlessness and persecution."
GN_20250825_215124_f298e697,"Presidents from Colombia, Brazil, and Bolivia met with Indigenous leaders in Bogota to discuss a joint plan for rainforest protection, which was seen as crucial to combating global warming. They signed the 'Declaration of Bogota,' focusing on cooperation among Amazon nations to protect the rainforest, covering over 2.5 million square miles. Ecuador's Vice President María José Pinto emphasized the need for 'concrete actions' beyond good intentions to safeguard the Amazon's legacy. Colombian Indigenous leader Oswaldo Muca urged for real actions beyond speeches, advocating for direct financing for Indigenous peoples to prevent further destruction of the Amazon.","On Friday, presidents of Amazon countries met in Bogota, Colombia with Indigenous leaders from eight Amazon nations to approve the Declaration of Bogota, covering more than 2.5 million square miles. Scientists note the Amazon rainforest functions as a massive carbon sink absorbing more carbon dioxide than it emits, but unchecked deforestation, mining, and agribusiness threaten its collapse and global climate. Indigenous leaders at the summit pressed for binding protections and a halt to oil projects, while ministers of Amazon nations approved a direct financing mechanism to support Indigenous stewardship. The summit is set to end with a joint declaration guiding regional environmental policy, after Amazon Cooperation Treaty Organization foreign ministers approved 20 resolutions and emphasized political will as vital, ACTO Secretary-General Martín von Hildebrand said. Concerns remain that the summit's remote location risks sidelining smaller nations and civil society groups, while Indigenous communities defending territories face growing violence, prompting María José Pinto, Vice President of Ecuador, to urge concrete, locally led actions beyond 'good intentions'.","On Friday, presidents of Amazon countries met in Bogota, Colombia with Indigenous leaders from eight Amazon nations to approve the Declaration of Bogota, covering more than 2.5 million square miles. Scientists note the Amazon rainforest functions as a massive carbon sink absorbing more carbon dioxide than it emits, but unchecked deforestation, mining, and agribusiness threaten its collapse and global climate. Indigenous leaders at the summit pressed for binding protections and a halt to oil projects, while ministers of Amazon nations approved a direct financing mechanism to support Indigenous stewardship. The summit is set to end with a joint declaration guiding regional environmental policy, after Amazon Cooperation Treaty Organization foreign ministers approved 20 resolutions and emphasized political will as vital, ACTO Secretary-General Martín von Hildebrand said. Concerns remain that the summit's remote location risks sidelining smaller nations and civil society groups, while Indigenous communities defending territories face growing violence, prompting María José Pinto, Vice President of Ecuador, to urge concrete, locally led actions beyond 'good intentions'."
GN_20250825_215654_94ab2f77,"Former Sri Lankan President Ranil Wickremesinghe was arrested for allegedly misusing government funds. Wickremesinghe is under investigation for a September 2023 visit to London related to a ceremony for his wife. The Criminal Investigation Department alleges that government funds were used for Wickremesinghe's travel and bodyguards. Wickremesinghe stated the visit was privately funded, but charges accuse him of using state resources for personal purposes.","Sri Lanka's former president Ranil Wickremesinghe has been arrested for alleged misuse of funds, according to police. The charges are related to trips abroad that he took while serving in office. Wickremesinghe claims that his wife's travel expenses were paid by her, not with state funds. The government accused Wickremesinghe of using about $56,000 of public money for a personal trip.","Former Sri Lankan President Ranil Wickremesinghe was arrested for allegedly misusing state funds, according to police reports. His arrest is linked to allegations of using government money for a personal trip to London in 2023, as mentioned by police officials. Former staff members were questioned regarding their roles in arranging Wickremesinghe's visit, based on information from Newswire. The legal proceedings against Wickremesinghe are expected to follow."
GN_20250825_215731_68aac61e,Canada has joined a multi-country statement demanding that Israel stop banning foreign journalists from entering Gaza and protect local journalists in Palestinian territories. Canada was not part of 27 countries calling for independent foreign media access into Gaza. The demand for journalist protection followed the condemnation of Israel for killing journalist Anas Al-Sharif. Canada is a co-founder of the Media Freedom Coalition and has signed multiple statements on media issues since 2020.,Canada has joined a multi-country statement demanding that Israel stop banning foreign journalists from entering Gaza and protect local journalists in Palestinian territories. Canada was not part of 27 countries calling for independent foreign media access into Gaza. The demand for journalist protection followed the condemnation of Israel for killing journalist Anas Al-Sharif. Canada is a co-founder of the Media Freedom Coalition and has signed multiple statements on media issues since 2020.,Canada has joined a multi-country statement demanding that Israel stop banning foreign journalists from entering Gaza and protect local journalists in Palestinian territories. Canada was not part of 27 countries calling for independent foreign media access into Gaza. The demand for journalist protection followed the condemnation of Israel for killing journalist Anas Al-Sharif. Canada is a co-founder of the Media Freedom Coalition and has signed multiple statements on media issues since 2020.
GN_20250825_215850_a5dbecf2,,,
